city,avg_salary
Бар,1245705.5
Калинковичи,865344.694998125
Шахрисабз,674928.44
Айет,567361.1465666667
Шри-Ланка,500389.76611111104
Шотландия,419206.17227272724
Добромиль,409405.14999999997
Винники,409405.14999999997
Золочев (Львовская область),409405.14999999997
Моршин,409405.14999999997
Дубляны,409405.14999999997
Жидачов,409405.14999999997
Глиняны,409405.14999999997
Жолква,409405.14999999997
Виноградное (Калмыкия),402733.5
Германия,394113.186875074
Япония,390055.36278169014
Бельгия,386360.8498275862
Мальта,354148.2835714286
ЮАР,349530.45966666663
Алжир,333624.88877931033
Египет,319845.74433333334
Текели,316027.5311666667
Албания,312466.75573529414
Афганистан,306467.219375
Липовец,296279.6
Финляндия,296100.5681551724
Андорра,295783.8572222222
Швеция,293980.3382138298
Барвиха  (Московская область),290000.0
Красноград,282080.0
Великобритания,279215.11800335575
Дания,276720.49842857145
Словения,276580.34846153844
Бангладеш,275037.4936842105
Австрия,273650.5339305085
Черногория,272141.423971223
Ангола,267910.873625
Канада,267702.88614583336
Кипр,260804.25629223473
Ирландия,259587.96179310343
Сербия,258702.762367278
Австралия,257949.87718253967
Эльбрус (Кабардино-Балкария),257500.0
Греция,252652.5288888889
Алат (Узбекистан),250701.2666666667
Ватутинки (Московская область),250000.0
Венгрия,248018.71714285715
Знаменский,243307.82089411767
Городок (Львовская область),243102.34499999997
Хива,240095.29625
Аджигабул,236305.35
Акстафа,236305.35
Агсу,236305.35
Магдалиновка,236242.0
Киверцы,236242.0
Ратно,236242.0
Кринички,236242.0
Верховцево,236242.0
Бершадь,236242.0
Литин,236242.0
Устилуг,236242.0
Гайсин,236242.0
Казатин,236242.0
Ильинцы,236242.0
Локачи,236242.0
Старая Выжевка,236242.0
Иваничи,236242.0
Межевая,236242.0
Крыжополь,236242.0
Любешов,236242.0
Маневичи,236242.0
Гнивань,236242.0
Швейцария,231216.97595588234
ОАЭ,229788.7041084098
Брянка (Красноярский край),225000.0
Каменка-Бугская,223140.72499999998
Кутаиси,222799.2557371795
Тбилиси,222422.91455855145
Бутово (Московская область),220000.0
Аргентина,219249.6737109375
Болгария,216623.7347515723
Кобрин,215525.25466094445
Батуми,215061.96771099584
Португалия,214891.75390625
Красная Поляна,214603.52985074627
Ильинский (Республика Карелия),210000.0
Сампур,210000.0
Королевство Саудовская Аравия,209977.64498863637
Турция,209251.76926981777
Боливия,203682.9758
Измайлово (Ульяновская область),200000.0
Путилково (Московская область),200000.0
Агроном (Липецкая область),200000.0
Верхняя Маза (Ульяновская область),200000.0
Южная Корея,195741.06903039216
Армения,194690.09017933437
Сингапур,194096.0876119403
Айтеке-Би,192736.11
Арбузинка,191052.89750000002
Жарковский (Тверская область),190000.0
Поти,188384.28266666667
Эстония,188101.6763527397
Покров (Днепропетровская область),187386.4975
Стрелецкое,187286.85714285713
Чехия,186422.08448042968
Словакия,186135.11963561643
США,185046.69223000002
Нововолынск,180811.70675
Гардабани,180715.8
Хони,180715.8
Чиатура,180715.8
Озургети,180715.8
Марнеули,180715.8
Болниси,180715.8
Сенаки,180715.8
Ткибули,180715.8
Каспи,180715.8
Цхалтубо,180715.8
Оболенск (Московская область),180000.0
Чумикан,180000.0
Франция,179625.8538595238
Покровское (городской округ Истра),176689.66199999998
Гарболово,175000.0
Семиозерье,175000.0
Мичуринское,175000.0
Стеклянный,175000.0
Громово,175000.0
Польша,174538.09177529914
Усть-Нера,172410.7142857143
Ананьев,172167.0
Литва,171873.30737276786
Нидерланды,169279.11309352517
Куба (Азербайджан),167350.3927777778
Горохов,167313.95
Любомль,167313.95
Турийск,167313.95
Рожище,167313.95
Берестечко,167313.95
Шацк (Волынская область),167313.95
Камень-Каширский,167313.95
Ахалцихе,166088.50625
Крюково,165000.0
Сириус,161749.23076923078
Старобельск,159920.3575
Абхазия,159866.80973404256
Багамские Острова,155768.35625
Термез,155228.91884615386
Кобулети,155143.00624999998
