year,avg_salary
2003,20652.475209299064
2004,21483.76093048357
2005,27430.059884549242
2006,39067.02002003513
2007,42786.133076141814
2008,46626.818744698976
2009,43123.03689421103
2010,42816.202588080596
2011,44176.16451378108
2012,44944.4146157669
2013,46788.96628577441
2014,45799.10396794924
2015,49277.57499475443
2016,53033.16722117386
2017,57297.30608598738
2018,62216.947549762655
2019,65730.56175988773
2020,68124.39467951494
2021,77196.54521565023
2022,85152.43072751735
2023,90836.56400184044
2024,100025.94956271106
