year,skill,count
2015,iOS,802
2015,Objective-C,609
2015,C++,192
2015,Git,190
2015,Android,179
2015,SQLite,151
2015,ООП,104
2015,"Программирование iOS, Android",101
2015,Разработка iOS Android,101
2015,Xcode,97
2015,STL,87
2015,Design Patterns,83
2015,Java,82
2015,swift,61
2015,JavaScript,59
2015,best-practices,54
2015,Swift,44
2015,Mac Os,42
2015,HTML5,37
2015,TCP/IP,37
2016,iOS,1292
2016,Objective-C,1072
2016,Git,496
2016,ООП,344
2016,Android,263
2016,Swift,246
2016,Xcode,240
2016,Java,182
2016,C++,124
2016,Mac Os,120
2016,SVN,107
2016,MVC,92
2016,SQL,89
2016,REST,89
2016,swift,78
2016,JSON API,72
2016,Английский язык,71
2016,XML,69
2016,C#,66
2016,Android SDK,66
2017,iOS,1417
2017,Objective-C,1189
2017,Git,530
2017,Swift,430
2017,ООП,355
2017,Xcode,325
2017,Android,191
2017,Mac Os,169
2017,Java,136
2017,REST,129
2017,swift,116
2017,C++,108
2017,JSON API,99
2017,SWIFT Alliance,98
2017,MVC,80
2017,CoreData,70
2017,XML,70
2017,SQL,66
2017,JavaScript,65
2017,C/C++,62
2018,iOS,1868
2018,Objective-C,1373
2018,Swift,736
2018,Git,714
2018,ООП,373
2018,Xcode,282
2018,Android,242
2018,Mac Os,203
2018,swift,203
2018,Java,180
2018,SWIFT Alliance,167
2018,C++,141
2018,SWIFT,111
2018,REST,108
2018,MVC,104
2018,JSON API,103
2018,Английский язык,93
2018,SQL,91
2018,C#,85
2018,JavaScript,79
2019,iOS,2665
2019,Objective-C,1797
2019,Swift,1237
2019,Git,928
2019,ООП,543
2019,Xcode,311
2019,Mac Os,265
2019,Android,254
2019,swift,233
2019,Английский язык,194
2019,Java,191
2019,REST,181
2019,C++,162
2019,SWIFT Alliance,162
2019,MVC,152
2019,iOS SDK,145
2019,SWIFT,131
2019,SQL,126
2019,UIKit,120
2019,MVVM,117
2020,iOS,4084
2020,Objective-C,2412
2020,Swift,1764
2020,Git,1725
2020,ООП,1097
2020,Mac Os,763
2020,Android,517
2020,Английский язык,499
2020,swift,427
2020,Java,371
2020,MVC,323
2020,Design Patterns,267
2020,Xcode,253
2020,REST,253
2020,Работа в команде,249
2020,Atlassian Jira,243
2020,C++,235
2020,SQL,233
2020,Scrum,190
2020,Kotlin,182
2021,iOS,6446
2021,Swift,4106
2021,Objective-C,2788
2021,Git,2592
2021,ООП,1610
2021,Английский язык,1100
2021,Xcode,946
2021,Mac Os,891
2021,Android,512
2021,MVC,498
2021,MVVM,469
2021,UIKit,452
2021,swift,439
2021,Atlassian Jira,418
2021,Scrum,359
2021,VIPER,348
2021,Работа в команде,344
2021,REST,340
2021,SOLID,340
2021,Java,335
2022,iOS,5233
2022,Swift,4640
2022,Git,2143
2022,Objective-C,1622
2022,Xcode,1361
2022,ООП,1334
2022,Английский язык,815
2022,MVVM,654
2022,UIKit,574
2022,Mac Os,526
2022,VIPER,462
2022,MVC,439
2022,SOLID,378
2022,Android,350
2022,Realm,341
2022,RxSwift,289
2022,Мобильные приложения,265
2022,Работа в команде,257
2022,Atlassian Jira,245
2022,REST,236
2023,iOS,2638
2023,Swift,2346
2023,Git,930
2023,Objective-C,730
2023,ООП,530
2023,Xcode,509
2023,UIKit,433
2023,MVVM,324
2023,Английский язык,216
2023,VIPER,200
2023,SOLID,194
2023,Android,182
2023,MVC,174
2023,Мобильные приложения,170
2023,Mac Os,165
2023,SwiftUI,160
2023,iOS SDK,158
2023,REST,153
2023,REST API,134
2023,swift,133
2024,iOS,1278
2024,Swift,1227
2024,Git,390
2024,UIKit,332
2024,Objective-C,287
2024,MVVM,229
2024,Xcode,217
2024,ООП,166
2024,SwiftUI,162
2024,VIPER,124
2024,Android,119
2024,SOLID,104
2024,iOS SDK,102
2024,RxSwift,91
2024,Английский язык,81
2024,MVP,73
2024,GCD,71
2024,Combine,68
2024,REST API,67
2024,MVC,67
