year,skill,count
2015,JavaScript,6702
2015,ООП,5146
2015,jQuery,5121
2015,HTML5,5003
2015,HTML,3791
2015,C#,3439
2015,MVC,3147
2015,.NET Framework,3116
2015,CSS,3015
2015,ASP.NET,2998
2015,PHP,2765
2015,Git,2528
2015,Ведение переговоров,2434
2015,MySQL,2430
2015,Java,2312
2015,SQL,2148
2015,Управление проектами,1977
2015,Поиск и привлечение клиентов,1868
2015,CSS3,1807
2015,Английский язык,1732
2016,JavaScript,13390
2016,HTML,9677
2016,PHP,8903
2016,Git,8414
2016,Ведение переговоров,8284
2016,CSS,8048
2016,jQuery,7623
2016,MySQL,7541
2016,Работа в команде,7023
2016,HTML5,6690
2016,Пользователь ПК,6629
2016,SQL,6537
2016,Java,6410
2016,Управление проектами,6289
2016,ООП,5989
2016,Грамотная речь,5415
2016,CSS3,5296
2016,Поиск и привлечение клиентов,5194
2016,Навыки продаж,5041
2016,Linux,4978
2017,JavaScript,19881
2017,HTML,14153
2017,PHP,12465
2017,Git,12433
2017,CSS,12411
2017,MySQL,10994
2017,Ведение переговоров,9872
2017,SQL,9863
2017,jQuery,9530
2017,HTML5,8784
2017,Управление проектами,8561
2017,Java,8364
2017,Работа в команде,7905
2017,Linux,7893
2017,ООП,7809
2017,Пользователь ПК,6939
2017,Английский язык,6736
2017,Активные продажи,6598
2017,CSS3,6447
2017,B2B Продажи,6260
2018,JavaScript,27705
2018,HTML,19720
2018,Git,19295
2018,CSS,17252
2018,PHP,16788
2018,SQL,16010
2018,MySQL,15406
2018,Ведение переговоров,14845
2018,Управление проектами,13392
2018,Java,12872
2018,Работа в команде,12859
2018,Linux,12341
2018,HTML5,11222
2018,Пользователь ПК,11182
2018,jQuery,11094
2018,Английский язык,10716
2018,Активные продажи,9885
2018,ООП,9699
2018,Грамотная речь,9551
2018,C#,9511
2019,JavaScript,31275
2019,SQL,25498
2019,Git,24955
2019,HTML,21672
2019,Работа в команде,19597
2019,Английский язык,19402
2019,CSS,19231
2019,Пользователь ПК,18123
2019,Linux,18047
2019,Управление проектами,17702
2019,Ведение переговоров,17647
2019,PHP,17106
2019,Java,17055
2019,MySQL,15863
2019,Грамотная речь,15458
2019,Python,14684
2019,Активные продажи,12062
2019,ООП,11452
2019,C#,11046
2019,Деловая переписка,10946
2020,SQL,56579
2020,Git,45301
2020,Английский язык,43068
2020,JavaScript,40976
2020,Работа в команде,38462
2020,Пользователь ПК,36784
2020,Linux,36429
2020,Грамотная речь,33220
2020,Java,30631
2020,Python,28013
2020,HTML,27599
2020,Управление проектами,27509
2020,CSS,25099
2020,MS SQL,23123
2020,Активные продажи,22791
2020,MySQL,22205
2020,PostgreSQL,21896
2020,Ведение переговоров,20693
2020,PHP,20616
2020,ООП,17671
2021,SQL,96186
2021,Работа в команде,95348
2021,Английский язык,85832
2021,Грамотная речь,76179
2021,Git,74032
2021,Пользователь ПК,61025
2021,JavaScript,58218
2021,Linux,57781
2021,Управление проектами,50915
2021,Python,49823
2021,Java,42702
2021,HTML,37462
2021,PostgreSQL,36085
2021,Ведение переговоров,35023
2021,Adobe Photoshop,32923
2021,CSS,32513
2021,Грамотность,32463
2021,Деловое общение,31144
2021,MS SQL,30478
2021,Активные продажи,30205
2022,Работа в команде,91094
2022,SQL,89636
2022,Английский язык,70324
2022,Git,67528
2022,Linux,57725
2022,Пользователь ПК,51962
2022,Python,47729
2022,Грамотная речь,47223
2022,JavaScript,45345
2022,Управление проектами,44946
2022,PostgreSQL,37184
2022,Adobe Photoshop,34498
2022,Java,33982
2022,Техническое обслуживание,28883
2022,MS PowerPoint,27784
2022,1С программирование,27084
2022,Аналитическое мышление,26515
2022,HTML,26420
2022,Грамотность,25531
2022,PHP,25451
2023,SQL,62205
2023,Работа в команде,44825
2023,Linux,40894
2023,Git,37580
2023,Python,35624
2023,Грамотная речь,31559
2023,PostgreSQL,30366
2023,Пользователь ПК,27880
2023,Английский язык,26909
2023,Управление проектами,26342
2023,JavaScript,25128
2023,Аналитическое мышление,24224
2023,Adobe Photoshop,23906
2023,1С программирование,21976
2023,Работа с большим объемом информации,21276
2023,Java,20697
2023,Техническая поддержка,18616
2023,Деловое общение,18301
2023,Docker,17934
2023,PHP,17885
2024,SQL,48028
2024,Linux,29501
2024,Python,27238
2024,Git,23514
2024,PostgreSQL,23492
2024,Аналитическое мышление,20031
2024,Техническая поддержка,18509
2024,JavaScript,16105
2024,Работа с большим объемом информации,15527
2024,Настройка ПК,15376
2024,Java,15122
2024,Английский язык,15106
2024,Adobe Photoshop,14709
2024,Работа в команде,14514
2024,1С программирование,14418
2024,Грамотная речь,14218
2024,Docker,14137
2024,Пользователь ПК,13396
2024,Деловая коммуникация,13281
2024,Информационные технологии,12748
