city,vacancy_share
Москва,0.33828698897531084
Санкт-Петербург,0.10109168123943195
Минск,0.03513254745240877
Новосибирск,0.023798399403525256
Екатеринбург,0.02224141638457466
Нижний Новгород,0.02070771508439912
Киев,0.020320746889106858
Алматы,0.020201590763202215
Казань,0.019911220009784108
Воронеж,0.016203064018797748
Краснодар,0.014916062173468471
Ростов-на-Дону,0.013388723579045123
Самара,0.013146940760461915
Пермь,0.010056401048284693
Уфа,0.009112551492726922
Челябинск,0.00800760979607962
Красноярск,0.007872546905794501
Саратов,0.007131870113460058
Омск,0.006803467732477723
Томск,0.0063830953319864644
Ярославль,0.005842265343050342
Нур-Султан,0.005793243587368699
Волгоград,0.005785000991280635
Ижевск,0.005756368815395782
Тюмень,0.005560571006567035
Тула,0.005318643581034914
Ташкент,0.0052395435799792835
Иркутск,0.004593150518336378
Ульяновск,0.004571893296846108
Владивосток,0.004500023643236147
Тверь,0.0044212128560783435
Рязань,0.004343558924511846
Калининград,0.004001129669484912
Барнаул,0.0038507384426149736
Хабаровск,0.003722327471979873
Пенза,0.003720158367746172
Белгород,0.003527831125691348
Владимир,0.0034237141224736987
Тольятти,0.003319452512307136
Киров (Кировская область),0.0032724552539102805
Астана,0.003157058908677386
Чебоксары,0.003040505707853184
Набережные Челны,0.0030341430021009943
Липецк,0.002999581941310691
Харьков,0.002976444829484547
Оренбург,0.0026778314799783725
Сочи,0.0026713241672772694
Кемерово,0.002666407531014214
Иваново (Ивановская область),0.0026525252639185274
Калуга,0.0026052387916238448
Брянск,0.0024917223367268244
Курск,0.002423901677686439
Ставрополь,0.0023782058818298045
Смоленск,0.0020900042326453946
Симферополь,0.00202435267783871
Тамбов,0.001992105328231022
Зеленоград,0.001990803865690801
Орел,0.0018952186724590426
Кострома,0.001869044814705717
Севастополь,0.0018334715052730202
Вологда,0.0018300009384990983
Днепр (Днепропетровск),0.0017413568788151833
Новокузнецк,0.001740200023223876
Караганда,0.0017266069700260162
Йошкар-Ола,0.0016580632762410639
Таганрог,0.001645916292532338
Львов,0.0016052817398876722
Одесса,0.0015718775346886763
Тбилиси,0.001535002762715759
Астрахань,0.0015310983750950972
Саранск,0.0014809197638221468
Бишкек,0.0014699296357047283
Гомель,0.0014103515727524067
Архангельск,0.0012616956292694297
Подольск (Московская область),0.0012560559582618072
Брест,0.001251717749794405
Великий Новгород,0.0012450658301443886
Череповец,0.0012190365793399763
Химки,0.0012073234164779907
Петрозаводск,0.001152372775890898
Сургут,0.0011342969072767228
Магнитогорск,0.0011175225012027682
Мурманск,0.001115642610866894
Атырау,0.0010942407824277105
Курган,0.0010794908736385437
Улан-Удэ,0.0010625718606156757
Гродно,0.001034228898628649
Псков,0.0010232387705112304
Мытищи,0.0010186113481460016
Обнинск,0.000963371493661082
Чита,0.000956141146215412
Витебск,0.0009376314567544966
Благовещенск (Амурская область),0.0009338716760827481
Новороссийск,0.0008472521136836205
Кипр,0.0008420462635227381
Шымкент,0.0008388649106466432
Могилев,0.0007849265187019444
Красногорск,0.0007441473591083651
Иннополис,0.0007425566826703177
Одинцово,0.0007286744155746311
Дзержинск (Нижегородская область),0.0007254930626985363
Южно-Сахалинск,0.00071927496389526
Армения,0.0007132014720408972
Королев,0.0006900643602147529
Балашиха,0.0006899197532658395
Усть-Каменогорск,0.0006852923309006106
Люберцы,0.0006719884916005777
Нижневартовск,0.0006669272483886086
Пятигорск,0.0006636012885636004
Павлодар,0.000647260703336386
Домодедово,0.0006215206664298005
Нижний Тагил,0.0006207976316852335
Старый Оскол,0.0006197853830428396
Сыктывкар,0.000619206955247186
Якутск,0.0006105305383123819
Россия,0.0006025771561221448
Махачкала,0.0005983835546036563
Донецк (Украина),0.0005723543037992439
Костанай,0.0005534107934915882
Альметьевск,0.0005460358390970048
Баку,0.0005421314514763429
Нижнекамск,0.0005185605188034585
Запорожье,0.0005016415057805905
Щелково,0.0004997616154447163
Новочеркасск,0.000494989586130574
Стерлитамак,0.0004944111583349204
Абакан,0.0004912298054588255
Новый Уренгой,0.0004912298054588255
Актобе,0.0004902175568164318
Энгельс,0.0004873254178381637
Петропавловск-Камчатский,0.0004842886719109823
Рыбинск,0.0004799504634435802
Ханты-Мансийск,0.0004719970812533431
Сербия,0.0004624530226250586
Волжский(Волгоградская область),0.00045030603891633287
Актау,0.00042152925608256593
Норильск,0.00042138464913365255
Бийск,0.00042109543523582575
Раменское,0.0004177694754108175
Долгопрудный,0.0004142989086368959
Пушкино (Московская область),0.00039405393578901963
Ногинск,0.00038465448410964853
Ангарск,0.0003837868424161681
Комсомольск-на-Амуре,0.00037858099225528564
Волжский (Волгоградская область),0.00037713492276615163
Уральск,0.00037163985870744234
Жуковский,0.00036947075447374135
Дубна,0.0003690369336270011
Ковров,0.0003671570432911269
Миасс,0.0003652771529552527
Волгодонск,0.0003584806263563228
Братск,0.0003563115221226218
Винница,0.00035558848737805474
Сергиев Посад,0.00035486545263348776
